Country Name,Country Code,Indicator Name,Value
Austria,AUT,Expenditure on education as % of total government expenditure (%),10.48320961
Belgium,BEL,Expenditure on education as % of total government expenditure (%),11.97239017
Bulgaria,BGR,Expenditure on education as % of total government expenditure (%),11.43980026
Denmark,DNK,Expenditure on education as % of total government expenditure (%),15.22986984
Finland,FIN,Expenditure on education as % of total government expenditure (%),12.32345009
France,FRA,Expenditure on education as % of total government expenditure (%),9.661879539
Germany,DEU,Expenditure on education as % of total government expenditure (%),11.13873959
Greece,GRC,Expenditure on education as % of total government expenditure (%),8.700209618
Hungary,HUN,Expenditure on education as % of total government expenditure (%),9.413049698
Ireland,IRL,Expenditure on education as % of total government expenditure (%),13.45306015
Italy,ITA,Expenditure on education as % of total government expenditure (%),8.006159782
Netherlands,NLD,Expenditure on education as % of total government expenditure (%),11.97317028
Norway,NOR,Expenditure on education as % of total government expenditure (%),17.02611923
Portugal,PRT,Expenditure on education as % of total government expenditure (%),9.888010025
Spain,ESP,Expenditure on education as % of total government expenditure (%),9.592610359
Sweden,SWE,Expenditure on education as % of total government expenditure (%),14.93908978
Switzerland,CHE,Expenditure on education as % of total government expenditure (%),15.52632046
United Kingdom,GBR,Expenditure on education as % of total government expenditure (%),13.88024044
