country_name,country_code,country_id
Austria,AUT,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Belgium,BEL,016d196a-2ec1-3aff-91f6-fd3d860f0cee
Bulgaria,BGR,bb9626a6-c7d1-3128-81e6-5abee75a3386
Switzerland,CHE,a87fcffa-0edf-38f5-bbed-adabf875d912
Germany,DEU,2c211a1e-fc55-3b37-bc26-1d18007c482b
Denmark,DNK,70a55e76-a7d7-3e5e-8a78-ccfb1303c780
Spain,ESP,00feb6e1-26e8-327d-9ee5-821fc4de90c0
Finland,FIN,8a9de0cb-0169-330b-bd6b-cb65fd373d38
France,FRA,fd2c4f6d-6e2a-3195-a7a7-11baa46a96e4
United Kingdom,GBR,6cb9c03d-b315-3dda-aa80-4057d4dadbc1
Greece,GRC,6c72553b-2198-3ce0-93ab-cab1768109c2
Hungary,HUN,1ca69109-f474-3211-a6c5-7b0f4d31bbc5
Ireland,IRL,d83714ff-1485-339d-ab46-3c41840519ac
Italy,ITA,c557d02c-310c-3783-88f7-874416ad33b2
Netherlands,NLD,09b02c85-1ed5-3820-a190-003b5e626c91
Norway,NOR,22e52158-7a5e-39d7-9a6c-af4f114f9936
Portugal,PRT,5a315251-2359-36a4-b3c0-80f35a0f25d7
Sweden,SWE,8a31be3f-8d91-3ead-8872-e76d499d69d8
